   1    1  2.5181732791321703E+00 6.0634111486015341E+00 4.8225072810165193E+00 3.2544425457852955E-01
   1    2  2.4181880598335419E+00 5.8754498124847041E+00 4.6515913681442571E+00 3.1305866278096994E-01
   1    3  2.1535142690391709E+00 5.3806426111849595E+00 4.2040852697714950E+00 2.8665586844651292E-01
   1    4  1.8015011097343769E+00 4.7306683888289545E+00 3.6322710963555394E+00 2.6209295524202514E-01
   1    5  1.3172439217139775E+00 4.0033221940120898E+00 2.9131995706324330E+00 2.4249693186436944E-01
   1    6  8.4053248673867131E-01 3.0423843791836185E+00 2.1019364003786545E+00 3.1173967283355108E-01
   1    7  2.8991318526082166E-01 2.6822542352828798E+00 1.7258534308698075E+00 4.2683837633175148E-01
   1    8  6.5251550008918899E-02 2.3906985181705034E+00 1.4569128191276755E+00 5.0584051337800939E-01
   1    9  2.5280226329973802E-03 2.2474243822710314E+00 1.1643773286032528E+00 5.4501724884368830E-01
   1   10  8.5425767481990211E-02 8.1242082708303520E-01 2.8828516298267293E-01 7.6995291794908882E-02
   1   11  2.9170370014189861E-01 1.9734800078046406E+00 7.7666783141394091E-01 2.0135025038929291E-01
   1   12  2.2793773726502528E-02 3.1012965465990694E-01 9.6376969475422167E-02 3.0791160543727134E-02
   1   13  8.8844610840006763E-02 7.8132925403761122E-01 2.5989946240120276E-01 8.2242424782027673E-02
   1   14  5.2586966172322818E-04 2.3069749418496401E-02 4.5634405169957658E-03 2.3801090663584552E-03
   1   15  2.4768678745186370E-03 5.9423597669291013E-02 1.2455658886019122E-02 6.5963881363648611E-03
   1   16  1.6498554948967758E-06 6.0994398895605046E-04 4.4334760310891556E-05 4.8395108900144599E-05
   1   17  7.7861190583704263E-06 1.4887119066960925E-03 1.2484197555067626E-04 1.3747706166675655E-04
   1   18  3.2601084321972365E-11 1.0232274636844545E-06 1.3396016743945849E-08 3.9071042855631867E-08
   1   19  1.3560472827834591E-10 2.5468753074948905E-06 3.9368817459490417E-08 1.1294140834107276E-07
   1   20  3.1702106194874637E-25 8.5852190584246547E-15 1.4167204320101039E-17 1.7228171614389554E-16
   1   21  1.6060511428687758E-24 2.1221096439290853E-14 4.2233951863938409E-17 5.0163567470195740E-16
   1   22  2.5403041063345487E-48 3.7510105272532919E-28 2.2868187736151522E-31 6.1347654740152851E-30
   1   23  1.3300779041156547E-47 9.2891073588011955E-28 6.8263910765384876E-31 1.7984248198778774E-29
   1   24  2.5070652883703641E-94 8.8665038548637894E-55 3.0221549580142510E-58 1.2255833025254306E-56
   1   25  1.3484775305608339E-93 2.3153424410471654E-54 9.0200773019982041E-58 3.6054208036162447E-56
   1   26  1.5362506672488166E-232 1.3665142335732857E-134 2.8382930574947207E-138 1.6601127401084429E-136
   1   27  3.9870499065406757E-232 3.5854143379214124E-134 8.4562107098586484E-138 4.8657997399731810E-136
